,text,created_at,retweet_count,favorite_count,is_retweet
143,Perhaps a new meeting will be set up with the @nytimes. In the meantime they continue to cover me inaccurately and with a nasty tone!,2016-11-22 11:31:00,9451.0,39024.0,False
144,The failing @nytimes just announced that complaints about them are at a 15 year high. I can fully understand that - but why announce?,2016-11-22 11:36:00,11960.0,49944.0,False
145,Great meetings will take place today at Trump Tower concerning the formation of the people who will run our government for the next 8 years.,2016-11-22 11:46:00,17103.0,80932.0,False
146,'President-elect Donald J. Trump's CIA Director Garners Praise'https://t.co/UFdLWtwBEQ https://t.co/MrPaG7OziQ,2016-11-22 13:38:00,8645.0,31285.0,False
147,'Jeff Sessions a Fitting Selection for Attorney General'https://t.co/LjKTkAZSFy,2016-11-22 13:39:00,10540.0,38034.0,False
148,The meeting with the @nytimes is back on at 12:30 today. Look forward to it!,2016-11-22 15:40:00,7221.0,33992.0,False
149,I am seriously considering Dr. Ben Carson as the head of HUD. I've gotten to know him well--he's a greatly talented person who loves people!,2016-11-22 17:10:00,27077.0,140303.0,False
150,Bus crash in Tennessee so sad &amp; so terrible. Condolences to all family members and loved ones. These beautiful children will be remembered!,2016-11-23 00:24:00,27657.0,132520.0,False
151,Let us give thanks for all that we have and let us boldly face the exciting new frontiers that lie ahead. Happy Th… https://t.co/RY9mGGjrXm,2016-11-24 02:17:00,48531.0,167399.0,False
152,Happy Thanksgiving to everyone. We will together MAKE AMERICA GREAT AGAIN!,2016-11-24 03:30:00,48701.0,185773.0,False
153,I am working hard even on Thanksgiving trying to get Carrier A.C. Company to stay in the U.S. (Indiana). MAKING PROGRESS - Will know soon!,2016-11-24 15:11:00,30862.0,139105.0,False
154,Fidel Castro is dead!,2016-11-26 13:08:00,99483.0,209846.0,False
155,The Green Party scam to fill up their coffers by asking for impossible recounts is now being joined by the badly defeated &amp; demoralized Dems,2016-11-27 00:31:00,32063.0,98232.0,False
156,The Democrats when they incorrectly thought they were going to win asked that the election night tabulation be accepted. Not so anymore!,2016-11-27 03:59:00,31558.0,100608.0,False
157,Hillary Clinton conceded the election when she called me just prior to the victory speech and after the results were in. Nothing will change,2016-11-27 12:19:00,26742.0,96998.0,False
158,"Hillary's debate answer on delay: ""That is horrifying. That is not the way our democracy works. Been around for 240 years. We've had free --",2016-11-27 12:55:00,11272.0,44333.0,False
159,and fair elections. We've accepted the outcomes when we may not have liked them and that is what must be expected of anyone standing on a -,2016-11-27 13:01:00,9979.0,41250.0,False
160,during a general election. I for one am appalled that somebody that is the nominee of one of our two major parties would take that kind --,2016-11-27 13:08:00,9078.0,38146.0,False
161,"of position."" Then separately she stated ""He said something truly horrifying ... he refused to say that he would respect the results of --",2016-11-27 13:18:00,9563.0,39254.0,False
162,"this election. That is a direct threat to our democracy."" She then said ""We have to accept the results and look to the future Donald --",2016-11-27 13:23:00,12644.0,50155.0,False
163,"Trump is going to be our President. We owe him an open mind and the chance to lead."" So much time and money will be spent - same result! Sad",2016-11-27 13:29:00,17191.0,74580.0,False
164,In addition to winning the Electoral College in a landslide I won the popular vote if you deduct the millions of people who voted illegally,2016-11-27 20:30:00,53442.0,162476.0,False
165,It would have been much easier for me to win the so-called popular vote than the Electoral College in that I would only campaign in 3 or 4--,2016-11-27 20:34:00,11535.0,48311.0,False
166,states instead of the 15 states that I visited. I would have won even more easily and convincingly (but smaller states are forgotten)!,2016-11-27 20:41:00,10811.0,48469.0,False
167,Serious voter fraud in Virginia New Hampshire and California - so why isn't the media reporting on this? Serious bias - big problem!,2016-11-28 00:31:00,31124.0,101706.0,False
168,If Cuba is unwilling to make a better deal for the Cuban people the Cuban/American people and the U.S. as a whole I will terminate deal.,2016-11-28 14:02:00,24571.0,84424.0,False
169,Just met with General Petraeus--was very impressed!,2016-11-28 21:01:00,13862.0,69184.0,False
170,@HighonHillcrest: @jeffzeleny what PROOF do u have DonaldTrump did not suffer from millions of FRAUD votes? Journalist? Do your job! @CNN,2016-11-29 02:14:00,7922.0,30094.0,False
171,@JoeBowman12: @jeffzeleny just another generic CNN part time wannabe journalist !  @CNN still doesn't get it. They will never learn!,2016-11-29 02:15:00,7661.0,31205.0,False
173,@sdcritic:  @HighonHillcrest @jeffzeleny @CNN There is NO QUESTION THAT #voterfraud did take place and in favor of #CorruptHillary !,2016-11-29 02:21:00,9172.0,33666.0,False
174,.@CNN is so embarrassed by their total  (100%) support of Hillary Clinton and yet her loss in a landslide that they don't know what to do.,2016-11-29 03:03:00,25140.0,91706.0,False
175,The Great State of Michigan was just certified as a Trump WIN giving all of our MAKE AMERICA GREAT AGAIN supporters another victory - 306!,2016-11-29 11:15:00,21661.0,97975.0,False
176,I thought that @CNN would get better after they failed so badly in their support of Hillary Clinton however since election they are worse!,2016-11-29 11:34:00,18975.0,73244.0,False
177,Nobody should be allowed to burn the American flag - if they do there must be consequences - perhaps loss of citizenship or year in jail!,2016-11-29 11:55:00,72830.0,214139.0,False
178,My thoughts and prayers are with the great people of Tennessee during these terrible wildfires. Stay safe!,2016-11-29 20:08:00,28396.0,106995.0,False
180,'President-Elect Donald J. Trump Intends to Nominate Congressman Tom Price and Seema Verma.'https://t.co/ZTh5cuY26Z https://t.co/twIgAKJs3s,2016-11-29 20:59:00,6688.0,24550.0,False
181,'President-Elect Donald J. Trump Nominates Elaine Chao as Secretary of the Department of Transportation'https://t.co/5FMGdhAZxB,2016-11-29 23:37:00,6622.0,27788.0,False
182,I will be going to Indiana on Thursday to make a major announcement concerning Carrier A.C. staying in Indianapolis. Great deal for workers!,2016-11-30 03:40:00,15613.0,70296.0,False
183,Big day on Thursday for Indiana and the great workers of that wonderful state.We will keep our companies and jobs in the U.S. Thanks Carrier,2016-11-30 03:50:00,18716.0,83764.0,False
184,ISIS is taking credit for the terrible stabbing attack at Ohio State University by a Somali refugee who should not have been in our country.,2016-11-30 11:20:00,34427.0,107641.0,False
185,I will be holding a major news conference in New York City with my children on December 15 to discuss the fact that I will be leaving my ...,2016-11-30 11:39:00,11313.0,45241.0,False
186,great business in total in order to fully focus on running the country in order to MAKE AMERICA GREAT AGAIN! While I am not mandated to ....,2016-11-30 11:44:00,10670.0,45403.0,False
187,do this under the law I feel it is visually important as President  to in no way have a conflict of interest with my various businesses..,2016-11-30 11:54:00,11266.0,50953.0,False
