\f0\fs24 \cf0 source,text,created_at,retweet_count,favorite_count,is_retweet,id_str\
Twitter for iPhone,\'93You have to look at the 17 instances of misconduct cited in the Report they are very bad. The FISA Court was clearly taken for a ride on this a failure of the FBI up and fown the chain of command. It\'92s about as strong a medicine as I\'92ve seen in a report of this kind...,12/10/2019 12:02,19274,69412,FALSE,1204370794266185728\
Twitter for iPhone,....in a very long time. The FBI has had some dark day in its past but nothing like this. This was VERY SERIOUS MISCONDUCT ON THE PART OF THE FBI.\'94 @brithume @BretBaier  Are you listening Comey McCabe lovers Lisa &amp; Peter the beautiful Ohr family Brennan Clapper &amp; many more?,12/10/2019 12:02,14757,49497,FALSE,1204370795235074048\
Twitter for iPhone,RT @GovMikeHuckabee: Congrats to @BillHemmer and great move by @FoxNews to put a genuine journalist in that slot. Worked w/ @BillHemmer for\'85,12/10/2019 5:00,9611,0,TRUE,1204264529884041216\
Twitter for iPhone,A great choice. Bill is a winner! https://t.co/yxrB8aDIL9,12/10/2019 4:53,12719,62691,FALSE,1204262826061303808\
Twitter for iPhone,RT @GOPChairwoman: New polling shows @realDonaldTrump surging in PA MI and WI.@KellyannePolls is absolutely right:This illegitimate s\'85,12/10/2019 4:50,12890,0,TRUE,1204262053764055041\
Twitter for iPhone,RT @PressSec: FIVE INDISPUTABLE FACTS:1. No evidence of wrongdoing by @POTUS 2. Ukraine said there was no pressure3. Lethal aid to Ukrai\'85,12/10/2019 4:50,10174,0,TRUE,1204261994473381888\
Twitter for iPhone,RT @GOPChairwoman: Where is Adam Schiff?After lying about his contact with the whistleblower and @realDonaldTrump\'92s call he\'92s nowhere to\'85,12/10/2019 4:49,16170,0,TRUE,1204261865154646016\
Twitter for iPhone,"RT @TeamTrump: Don't let the Impeachment Sham distract from the fact that the Obama FBI was just faulted for numerous ""omissions"" and ""inac\'85",12/10/2019 4:48,12970,0,TRUE,1204261627589283840\
Twitter for iPhone,"RT @WhiteHouse: President @realDonaldTrump shares the incredible story behind the prayer and song ""God Bless America."" https://t.co/WLJUht\'85",12/10/2019 4:48,10265,0,TRUE,1204261462119796736\
Twitter for iPhone,RT @GOPChairwoman: It\'92s official:Under Obama and Biden Comey\'92s FBI used Dem-funded smears to spy on @realDonaldTrump\'92s campaign then br\'85,12/10/2019 4:47,13554,0,TRUE,1204261422768758784\
Twitter for iPhone,RT @GOPChairwoman: You can\'92t make this up:Schiff\'92s Democrat counsel just flat-out refused to discuss how they conducted their partisan in\'85,12/10/2019 4:46,10875,0,TRUE,1204261070296276992\
Twitter for iPhone,"RT @KatrinaPierson: ""He did it pursuant to US policy""??Um who sets U.S. policy other than the President of the United States?They refu\'85",12/10/2019 4:46,9327,0,TRUE,1204261014629494785\
Twitter for iPhone,"RT @WhiteHouse: President @realDonaldTrump on the Department of Justice Inspector General's Report: ""It's a disgrace what's happened with r\'85",12/10/2019 4:44,12678,0,TRUE,1204260671661182978\
Twitter for iPhone,RT @GeraldoRivera: Now it is clear 1-The #FBI did not fully inform the #FISACourt that the #SteeleDossier was produced &amp; bankrolled by #T\'85,12/10/2019 4:44,11886,0,TRUE,1204260602006388737\
Twitter for iPhone,RT @seanhannity: .@realDonaldTrump on FISA abuse ,,,,,
\f1 \uc0\u55357 \u56391 ,,,,,,
\f0 https://t.co/yFyUygKrwI,12/10/2019 4:44,5695,0,TRUE,1204260463963492353\,
Twitter for iPhone,RT @WhiteHouse: President @realDonaldTrump has asked Congress to pass a federal tax credit to support state-based scholarship programs and\'85,12/10/2019 4:43,9012,0,TRUE,1204260314377805825\
Twitter for iPhone,RT @realDonaldTrump: The Real Deal! https://t.co/jUXHPU85PQ,12/9/2019 17:27,19330,0,TRUE,1204090124272898049\
Twitter for iPhone,Read the Transcripts!,12/9/2019 15:47,23660,115421,FALSE,1204065132894142469\
Twitter for iPhone,True! https://t.co/1seRjQ11ru,12/9/2019 15:25,15617,57806,FALSE,1204059465860964353\
Twitter for iPhone,The Do Nothing Democrats are a disgrace! https://t.co/BlaAqsiw8z,12/9/2019 15:20,19449,71788,FALSE,1204058273172856832\
Twitter for iPhone,The best Economy ever! https://t.co/Ql8f16uGXD,12/9/2019 15:15,19774,74816,FALSE,1204057010192420864\
Twitter for iPhone,Witch Hunt! https://t.co/XrJSUsm9Wq,12/9/2019 15:11,14022,52774,FALSE,1204056037684383746\
Twitter for iPhone,The Real Deal! https://t.co/jUXHPU85PQ,12/9/2019 5:07,21987,70328,FALSE,1203904036862345216\
Twitter for iPhone,Witch Hunt! https://t.co/JIJk7l5TAX,12/9/2019 5:05,12388,43059,FALSE,1203903535412338691\
Twitter for iPhone,Let our great soldiers fight! https://t.co/qBGdF9sVnJ,12/9/2019 5:04,14642,57397,FALSE,1203903346324709376\
Twitter for iPhone,RT @DanScavino: #ImpeachmentSHAM #SchiffShow https://t.co/RlqXgqO49H,12/9/2019 5:02,7604,0,TRUE,1203902768018284544\
Twitter for iPhone,RT @realDonaldTrump: https://t.co/11nzKwOCtU,12/9/2019 4:59,201923,0,TRUE,1203902012859006976\
Twitter for iPhone,RT @DanScavino: The Do Nothing Dems will keep their games going on in THE SWAMP well into 2020 because they hate Trump and they think it he\'85,12/9/2019 4:56,8776,0,TRUE,1203901275131252736\
Twitter for iPhone,RT @DanScavino: https://t.co/cfuW0h9PRr,12/9/2019 4:54,12109,0,TRUE,1203900697126805504\
Twitter for iPhone,AMERICA FIRST! https://t.co/dOU1MK1Lwu,12/9/2019 4:52,15353,59461,FALSE,1203900269827952640\
Twitter for iPhone,RT @DanScavino: CONGRATS Bryce Mitchell (@ThugnastyMMA)! #UFCDC #UFCWashington cc: @realDonaldTrumpWAIT FOR IT.....https://t.co/KPcInakf\'85,12/9/2019 4:48,19034,0,TRUE,1203899262104420353\
Twitter for iPhone,\'93The Democrats have thrown a wrecking ball at our Democracy.\'94 @MariaBartiromo,12/9/2019 4:43,14168,60556,FALSE,1203897969478635520\
Twitter for iPhone,\'93No president in American history has been treated like this.\'94 @marklevinshow,12/9/2019 1:37,25488,117690,FALSE,1203851127189594113\
Twitter for iPhone,RT @WhiteHouse: Yesterday President @realDonaldTrump delivered remarks at the Israeli American Council National Summit. https://t.co/jEP6p\'85,12/9/2019 1:33,8889,0,TRUE,1203850206170812418\
Twitter for iPhone,RT @ByronYork: Are journalists concerned about release of John Solomon's phone records? Some have tried to make him an outcast journalist.\'85,12/8/2019 23:28,9743,0,TRUE,1203818544686866433\
Twitter for iPhone,RT @DevinNunes: CNN Hits Three-Year Ratings Low Amid Impeachment Drama - #goodnightVienna \uc0\u8294 @DailyCaller\u8297   https://t.co/8BxDAKxKeb,12/8/2019 23:27,14151,0,TRUE,1203818341321838592\
Twitter for iPhone,RT @DailyCaller: Speaker Pelosi Claimed To \'91Resent\'92 The Word \'91Hate.\'92 She Once Said GOP Were \'91Paralyzed With Hatred\'92 Of Clinton. https://t.c\'85,12/8/2019 23:26,6429,0,TRUE,1203818062069321729\
